"filename", "language", "JSON", "Markdown", "Python", "JavaScript", "toml", "pip requirements", "HTML", "CSS", "SCSS", "MS SQL", "JSON with Comments", "comment", "blank", "total"
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys\interest-map.html", "HTML", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 9, 8, 192
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys\user_orientation.html", "HTML", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 7, 8, 202
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_foundations_current_habits_patterns.html", "HTML", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 7, 1, 185
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_foundations_getting_to_know_you.html", "HTML", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 7, 1, 185
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_foundations_reflecting_purpose_motivation.html", "HTML", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 7, 1, 185
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_foundations_social_support_accountability.html", "HTML", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 7, 1, 185
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_getting_started.html", "HTML", 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 7, 5, 204
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_topic_template.html", "HTML", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 6, 1, 182
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_why_define_your_purpose.html", "HTML", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 6, 1, 164
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_why_define_your_values.html", "HTML", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 7, 1, 158
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_why_growth_drivers.html", "HTML", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 7, 1, 158
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_why_intro.html", "HTML", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 6, 1, 146
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys_deprecated\survey_why_long_term_vision.html", "HTML", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 7, 1, 158
"c:\Users\jonsa\Documents\CodingProjects\Converge\package-lock.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\jonsa\Documents\CodingProjects\Converge\package.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\jonsa\Documents\CodingProjects\Converge\page_templates\generic_with_sidebar.html", "HTML", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 3, 2, 152
"c:\Users\jonsa\Documents\CodingProjects\Converge\page_templates\thoughts_for_new_user.html", "HTML", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 64
"c:\Users\jonsa\Documents\CodingProjects\Converge\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\jonsa\Documents\CodingProjects\Converge\server.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 254, 134, 11886, 1455, 11, 12, 7415, 154, 0, 10, 14, 1875, 1829, 25049
